iteration,psnr,ssim,lpips,loss,latent_ks_stat,latent_ks_p,latent_sw_stat,latent_sw_p,freq_low_frac,freq_mid_frac,freq_high_frac,img_low_frac,img_mid_frac,img_high_frac
430,23.8102,0.6184,0.1524,0.011189,0.0015,0.8003,0.9998,0.9096,0.020938,0.126378,0.852683,0.973658,0.020587,0.005755
440,23.8421,0.6178,0.1517,0.011164,0.0015,0.8001,0.9998,0.8936,0.021153,0.126371,0.852476,0.973722,0.020521,0.005757
450,23.9447,0.6174,0.1518,0.011120,0.0015,0.7652,0.9998,0.8876,0.021350,0.126369,0.852281,0.973649,0.020547,0.005803
460,24.1527,0.6208,0.1480,0.011083,0.0015,0.7527,0.9998,0.8855,0.021502,0.126370,0.852129,0.973670,0.020487,0.005843
470,24.3543,0.6234,0.1465,0.011050,0.0016,0.7178,0.9998,0.8834,0.021649,0.126371,0.851980,0.973638,0.020491,0.005871
480,24.4843,0.6250,0.1460,0.011037,0.0015,0.7433,0.9998,0.8828,0.021807,0.126373,0.851820,0.973504,0.020565,0.005931
490,24.5874,0.6264,0.1448,0.011027,0.0015,0.7456,0.9998,0.8848,0.021978,0.126375,0.851646,0.973417,0.020598,0.005985
500,24.6702,0.6274,0.1438,0.011018,0.0015,0.7490,0.9998,0.8861,0.022161,0.126378,0.851461,0.973345,0.020616,0.006039
510,24.7325,0.6277,0.1424,0.011011,0.0015,0.7906,0.9998,0.8857,0.022352,0.126381,0.851268,0.973305,0.020612,0.006083
520,24.7989,0.6286,0.1414,0.011004,0.0014,0.8203,0.9998,0.8828,0.022543,0.126384,0.851073,0.973265,0.020607,0.006128
530,24.8627,0.6292,0.1408,0.010998,0.0013,0.8814,0.9998,0.8800,0.022737,0.126387,0.850876,0.973214,0.020611,0.006175
540,24.9154,0.6296,0.1406,0.010993,0.0013,0.8847,0.9998,0.8764,0.022934,0.126392,0.850674,0.973135,0.020639,0.006226
550,24.9591,0.6296,0.1406,0.010988,0.0013,0.8723,0.9998,0.8721,0.023135,0.126398,0.850466,0.973046,0.020676,0.006277
560,24.9956,0.6294,0.1404,0.010984,0.0014,0.8515,0.9998,0.8677,0.023339,0.126407,0.850254,0.972974,0.020702,0.006324
570,25.0275,0.6293,0.1399,0.010980,0.0013,0.8923,0.9998,0.8629,0.023546,0.126418,0.850036,0.972930,0.020707,0.006363
580,25.0554,0.6293,0.1396,0.010976,0.0012,0.9252,0.9998,0.8583,0.023757,0.126431,0.849812,0.972905,0.020697,0.006398
590,25.0794,0.6291,0.1394,0.010973,0.0012,0.9389,0.9998,0.8515,0.023970,0.126447,0.849583,0.972882,0.020686,0.006432
600,25.0985,0.6286,0.1391,0.010970,0.0012,0.9420,0.9997,0.8413,0.024183,0.126466,0.849350,0.972859,0.020673,0.006468
610,25.1132,0.6279,0.1391,0.010967,0.0013,0.9138,0.9997,0.8294,0.024397,0.126488,0.849114,0.972834,0.020660,0.006505
620,25.1238,0.6272,0.1392,0.010964,0.0012,0.9345,0.9997,0.8149,0.024612,0.126513,0.848875,0.972807,0.020649,0.006543
630,25.1307,0.6263,0.1394,0.010961,0.0012,0.9555,0.9997,0.7979,0.024826,0.126541,0.848633,0.972779,0.020639,0.006582
640,25.1355,0.6253,0.1396,0.010957,0.0012,0.9506,0.9997,0.7793,0.025039,0.126572,0.848389,0.972750,0.020629,0.006622
650,25.1379,0.6243,0.1401,0.010954,0.0011,0.9655,0.9997,0.7587,0.025251,0.126606,0.848143,0.972718,0.020619,0.006663
660,25.1367,0.6230,0.1405,0.010951,0.0011,0.9624,0.9997,0.7433,0.025460,0.126644,0.847897,0.972684,0.020610,0.006706
670,25.1337,0.6218,0.1412,0.010947,0.0012,0.9507,0.9997,0.7304,0.025665,0.126683,0.847651,0.972648,0.020603,0.006749
680,25.1306,0.6204,0.1418,0.010944,0.0012,0.9352,0.9997,0.7157,0.025867,0.126725,0.847408,0.972612,0.020594,0.006794
690,25.1257,0.6190,0.1428,0.010940,0.0012,0.9416,0.9997,0.7017,0.026064,0.126769,0.847167,0.972576,0.020585,0.006839
700,25.1213,0.6177,0.1436,0.010935,0.0012,0.9244,0.9997,0.6902,0.026255,0.126813,0.846932,0.972543,0.020573,0.006883
710,25.1156,0.6163,0.1448,0.010931,0.0011,0.9591,0.9997,0.6776,0.026440,0.126857,0.846703,0.972516,0.020557,0.006927
720,25.1116,0.6151,0.1457,0.010925,0.0012,0.9543,0.9997,0.6661,0.026618,0.126899,0.846483,0.972497,0.020535,0.006968
730,25.1084,0.6137,0.1469,0.010920,0.0012,0.9349,0.9997,0.6557,0.026787,0.126937,0.846276,0.972488,0.020505,0.007007
740,25.1051,0.6125,0.1482,0.010914,0.0013,0.9091,0.9997,0.6408,0.026948,0.126969,0.846083,0.972494,0.020464,0.007042
750,25.1044,0.6114,0.1495,0.010907,0.0013,0.8836,0.9997,0.6219,0.027099,0.126991,0.845910,0.972519,0.020408,0.007073
760,25.1057,0.6104,0.1510,0.010899,0.0013,0.8936,0.9997,0.6002,0.027240,0.127000,0.845760,0.972570,0.020333,0.007097
770,25.1111,0.6097,0.1530,0.010890,0.0014,0.8288,0.9997,0.5832,0.027368,0.126993,0.845640,0.972651,0.020235,0.007114
780,25.1170,0.6090,0.1551,0.010880,0.0013,0.8752,0.9997,0.5622,0.027483,0.126963,0.845554,0.972767,0.020110,0.007123
790,25.1271,0.6084,0.1570,0.010869,0.0013,0.8940,0.9996,0.5403,0.027585,0.126906,0.845509,0.972925,0.019953,0.007123
800,25.1402,0.6081,0.1594,0.010856,0.0013,0.9121,0.9996,0.5283,0.027673,0.126817,0.845510,0.973126,0.019761,0.007112
810,25.1548,0.6080,0.1625,0.010842,0.0013,0.8933,0.9996,0.5220,0.027745,0.126690,0.845565,0.973371,0.019537,0.007092
820,25.1730,0.6082,0.1658,0.010826,0.0011,0.9683,0.9996,0.5172,0.027800,0.126518,0.845682,0.973659,0.019280,0.007061
830,25.1940,0.6086,0.1698,0.010808,0.0010,0.9826,0.9996,0.5132,0.027838,0.126296,0.845866,0.973990,0.018992,0.007018
840,25.2155,0.6093,0.1744,0.010788,0.0010,0.9877,0.9996,0.5167,0.027858,0.126019,0.846123,0.974367,0.018669,0.006964
850,25.2400,0.6103,0.1791,0.010767,0.0013,0.8914,0.9996,0.5407,0.027857,0.125683,0.846460,0.974794,0.018309,0.006896
860,25.2619,0.6117,0.1847,0.010744,0.0013,0.8709,0.9997,0.5727,0.027835,0.125283,0.846882,0.975267,0.017917,0.006816
870,25.2898,0.6134,0.1914,0.010719,0.0017,0.5984,0.9997,0.5929,0.027796,0.124819,0.847385,0.975773,0.017505,0.006722
