iteration,psnr,ssim,lpips,loss,latent_ks_stat,latent_ks_p,latent_sw_stat,latent_sw_p
740,24.9965,0.6094,0.1309,0.010922,0.0013,0.8800,0.9997,0.7277
750,24.9989,0.6084,0.1318,0.010917,0.0013,0.9126,0.9997,0.7106
760,25.0032,0.6074,0.1335,0.010911,0.0014,0.8609,0.9997,0.6958
770,25.0088,0.6066,0.1349,0.010905,0.0015,0.7797,0.9997,0.6884
780,25.0154,0.6057,0.1366,0.010898,0.0014,0.8077,0.9997,0.6851
790,25.0249,0.6051,0.1385,0.010890,0.0014,0.8628,0.9997,0.6739
800,25.0375,0.6046,0.1407,0.010881,0.0013,0.9142,0.9997,0.6685
810,25.0542,0.6044,0.1432,0.010871,0.0013,0.8957,0.9997,0.6638
820,25.0716,0.6042,0.1459,0.010860,0.0013,0.8807,0.9997,0.6529
830,25.0921,0.6043,0.1492,0.010847,0.0013,0.9179,0.9997,0.6307
840,25.1144,0.6045,0.1526,0.010833,0.0014,0.8643,0.9997,0.6052
850,25.1407,0.6050,0.1564,0.010818,0.0014,0.8534,0.9997,0.5844
860,25.1656,0.6057,0.1611,0.010801,0.0014,0.8415,0.9997,0.6044
870,25.1912,0.6067,0.1657,0.010784,0.0016,0.6615,0.9997,0.6425
880,25.2174,0.6080,0.1714,0.010764,0.0020,0.3804,0.9997,0.6965
890,25.2423,0.6096,0.1771,0.010744,0.0020,0.4020,0.9997,0.7293
900,25.2650,0.6116,0.1842,0.010724,0.0021,0.3475,0.9997,0.7377
910,25.2813,0.6136,0.1917,0.010704,0.0025,0.1727,0.9997,0.7068
920,25.3056,0.6163,0.2000,0.010684,0.0025,0.1634,0.9997,0.7195
930,25.3158,0.6187,0.2092,0.010666,0.0028,0.0834,0.9997,0.7051
940,25.3204,0.6212,0.2184,0.010650,0.0030,0.0612,0.9997,0.6658
950,25.3194,0.6237,0.2275,0.010635,0.0032,0.0363,0.9997,0.6194
960,25.2989,0.6259,0.2362,0.010624,0.0034,0.0212,0.9997,0.5730
970,25.2660,0.6275,0.2447,0.010616,0.0034,0.0196,0.9996,0.5124
980,25.2224,0.6288,0.2532,0.010611,0.0035,0.0147,0.9996,0.4604
990,25.1687,0.6296,0.2620,0.010609,0.0037,0.0080,0.9996,0.4035
