iteration,psnr,ssim,lpips,loss,latent_ks_stat,latent_ks_p,latent_sw_stat,latent_sw_p,freq_low_frac,freq_mid_frac,freq_high_frac,img_low_frac,img_mid_frac,img_high_frac
390,24.9229,0.6081,0.1073,0.010947,0.0015,0.7500,0.9996,0.3766,0.021124,0.124895,0.853981,0.965809,0.026507,0.007684
400,24.8980,0.6051,0.1077,0.010945,0.0015,0.7703,0.9996,0.3785,0.021343,0.124876,0.853781,0.965643,0.026561,0.007796
410,24.8721,0.6021,0.1083,0.010943,0.0015,0.7980,0.9996,0.3805,0.021556,0.124858,0.853586,0.965444,0.026639,0.007917
420,24.8458,0.5991,0.1091,0.010942,0.0014,0.8277,0.9996,0.3831,0.021760,0.124842,0.853398,0.965210,0.026743,0.008048
430,24.8194,0.5961,0.1103,0.010940,0.0014,0.8406,0.9996,0.3859,0.021956,0.124827,0.853217,0.964955,0.026859,0.008185
440,24.7924,0.5932,0.1117,0.010938,0.0013,0.8736,0.9996,0.3903,0.022141,0.124814,0.853045,0.964701,0.026973,0.008326
450,24.7670,0.5904,0.1126,0.010936,0.0013,0.8997,0.9996,0.3963,0.022316,0.124803,0.852881,0.964444,0.027087,0.008469
460,24.7410,0.5877,0.1140,0.010935,0.0013,0.9014,0.9996,0.4021,0.022481,0.124793,0.852726,0.964185,0.027200,0.008615
470,24.7171,0.5851,0.1153,0.010933,0.0014,0.8506,0.9996,0.4080,0.022637,0.124785,0.852578,0.963934,0.027306,0.008760
480,24.6962,0.5826,0.1165,0.010931,0.0015,0.7942,0.9996,0.4133,0.022785,0.124779,0.852437,0.963691,0.027407,0.008902
490,24.6788,0.5805,0.1177,0.010929,0.0016,0.7300,0.9996,0.4190,0.022928,0.124773,0.852299,0.963472,0.027491,0.009037
500,24.6626,0.5785,0.1186,0.010927,0.0017,0.6439,0.9996,0.4236,0.023068,0.124768,0.852164,0.963258,0.027572,0.009169
510,24.6476,0.5766,0.1195,0.010925,0.0017,0.6542,0.9996,0.4284,0.023206,0.124764,0.852030,0.963057,0.027645,0.009298
520,24.6340,0.5747,0.1205,0.010924,0.0017,0.6537,0.9996,0.4326,0.023344,0.124759,0.851897,0.962867,0.027710,0.009423
530,24.6192,0.5727,0.1213,0.010922,0.0016,0.7276,0.9996,0.4368,0.023481,0.124755,0.851764,0.962680,0.027771,0.009549
540,24.6035,0.5708,0.1223,0.010921,0.0015,0.7526,0.9996,0.4396,0.023617,0.124751,0.851632,0.962487,0.027837,0.009676
550,24.5877,0.5688,0.1231,0.010919,0.0015,0.7472,0.9996,0.4421,0.023751,0.124748,0.851501,0.962298,0.027895,0.009806
560,24.5700,0.5666,0.1243,0.010918,0.0015,0.7906,0.9996,0.4437,0.023884,0.124745,0.851371,0.962119,0.027944,0.009936
570,24.5515,0.5644,0.1254,0.010916,0.0014,0.8404,0.9996,0.4450,0.024016,0.124742,0.851242,0.961930,0.028000,0.010070
580,24.5306,0.5621,0.1269,0.010915,0.0014,0.8609,0.9996,0.4464,0.024145,0.124740,0.851114,0.961729,0.028062,0.010209
590,24.5114,0.5599,0.1279,0.010914,0.0014,0.8316,0.9996,0.4478,0.024273,0.124739,0.850988,0.961528,0.028122,0.010349
