iteration,psnr,ssim,lpips,loss,latent_ks_stat,latent_ks_p,latent_sw_stat,latent_sw_p,freq_low_frac,freq_mid_frac,freq_high_frac,img_low_frac,img_mid_frac,img_high_frac
430,25.2803,0.6392,0.1256,0.010943,0.0014,0.8545,0.9996,0.4496,0.022956,0.124737,0.852306,0.969416,0.024485,0.006099
440,25.2731,0.6380,0.1262,0.010942,0.0013,0.8789,0.9996,0.4527,0.023169,0.124724,0.852107,0.969369,0.024500,0.006130
450,25.2691,0.6370,0.1269,0.010939,0.0013,0.8671,0.9996,0.4551,0.023372,0.124711,0.851917,0.969315,0.024520,0.006165
460,25.2649,0.6360,0.1275,0.010937,0.0013,0.8984,0.9996,0.4559,0.023566,0.124700,0.851734,0.969258,0.024544,0.006198
470,25.2653,0.6354,0.1278,0.010935,0.0013,0.9096,0.9996,0.4568,0.023755,0.124690,0.851556,0.969207,0.024563,0.006230
480,25.2653,0.6347,0.1281,0.010933,0.0013,0.9099,0.9996,0.4581,0.023941,0.124679,0.851380,0.969156,0.024581,0.006263
490,25.2659,0.6340,0.1284,0.010931,0.0013,0.9017,0.9996,0.4590,0.024126,0.124669,0.851204,0.969122,0.024587,0.006291
500,25.2684,0.6335,0.1287,0.010929,0.0013,0.9047,0.9996,0.4602,0.024312,0.124660,0.851029,0.969088,0.024591,0.006322
510,25.2693,0.6330,0.1289,0.010927,0.0013,0.8950,0.9996,0.4615,0.024497,0.124650,0.850853,0.969058,0.024591,0.006351
520,25.2692,0.6324,0.1290,0.010926,0.0013,0.8805,0.9996,0.4641,0.024682,0.124641,0.850677,0.969040,0.024583,0.006377
530,25.2696,0.6318,0.1292,0.010924,0.0013,0.9040,0.9996,0.4666,0.024867,0.124632,0.850501,0.969030,0.024567,0.006403
540,25.2678,0.6311,0.1295,0.010923,0.0013,0.8899,0.9996,0.4687,0.025051,0.124624,0.850325,0.969005,0.024565,0.006431
550,25.2660,0.6304,0.1297,0.010921,0.0013,0.8954,0.9996,0.4710,0.025234,0.124616,0.850150,0.968982,0.024560,0.006459
560,25.2644,0.6296,0.1301,0.010920,0.0013,0.9087,0.9996,0.4728,0.025416,0.124609,0.849975,0.968945,0.024564,0.006491
570,25.2592,0.6286,0.1305,0.010919,0.0012,0.9273,0.9996,0.4746,0.025596,0.124603,0.849802,0.968911,0.024567,0.006523
580,25.2535,0.6277,0.1310,0.010917,0.0012,0.9464,0.9996,0.4769,0.025774,0.124596,0.849629,0.968880,0.024567,0.006553
590,25.2460,0.6266,0.1318,0.010916,0.0012,0.9533,0.9996,0.4793,0.025951,0.124591,0.849458,0.968846,0.024568,0.006586
600,25.2402,0.6257,0.1321,0.010915,0.0012,0.9311,0.9996,0.4818,0.026125,0.124586,0.849289,0.968812,0.024572,0.006616
610,25.2304,0.6245,0.1329,0.010914,0.0013,0.8972,0.9996,0.4832,0.026296,0.124582,0.849122,0.968759,0.024589,0.006653
620,25.2203,0.6233,0.1336,0.010913,0.0013,0.9064,0.9996,0.4835,0.026466,0.124578,0.848956,0.968710,0.024604,0.006687
630,25.2108,0.6223,0.1341,0.010912,0.0012,0.9288,0.9996,0.4827,0.026633,0.124575,0.848792,0.968646,0.024631,0.006724
