iter,loss,low_norm,mid_norm,high_norm,low_frac,mid_frac,high_frac
85,0.011319,0.755399,0.067673,0.079399,0.981283,0.007875,0.010841
86,0.011311,0.748220,0.066443,0.077944,0.981607,0.007741,0.010652
87,0.011302,0.741062,0.065200,0.076816,0.981850,0.007600,0.010550
88,0.011292,0.730521,0.064147,0.075952,0.981817,0.007570,0.010613
89,0.011282,0.717108,0.063303,0.075519,0.981467,0.007648,0.010885
90,0.011272,0.701905,0.062664,0.075284,0.980898,0.007818,0.011284
91,0.011263,0.688396,0.062006,0.074612,0.980526,0.007955,0.011519
92,0.011255,0.676410,0.061581,0.074459,0.980002,0.008123,0.011875
93,0.011248,0.666754,0.061078,0.074517,0.979545,0.008220,0.012235
94,0.011241,0.658132,0.060632,0.074330,0.979199,0.008311,0.012490
95,0.011234,0.649793,0.060127,0.074294,0.978824,0.008381,0.012796
96,0.011228,0.640916,0.059622,0.073953,0.978504,0.008468,0.013028
97,0.011222,0.631830,0.059248,0.074012,0.977981,0.008599,0.013419
98,0.011216,0.623893,0.058840,0.073706,0.977659,0.008696,0.013645
99,0.011211,0.617388,0.058649,0.073765,0.977231,0.008819,0.013950
100,0.011207,0.612186,0.058270,0.073748,0.976971,0.008851,0.014178
101,0.011203,0.607487,0.057982,0.073650,0.976745,0.008898,0.014357
102,0.011199,0.602359,0.057802,0.073617,0.976425,0.008991,0.014584
103,0.011195,0.597029,0.057480,0.073605,0.976116,0.009048,0.014836
104,0.011191,0.592076,0.057137,0.073544,0.975855,0.009088,0.015057
105,0.011187,0.587849,0.056884,0.073476,0.975623,0.009135,0.015242
106,0.011184,0.584157,0.056637,0.073319,0.975464,0.009170,0.015367
107,0.011180,0.580435,0.056331,0.073056,0.975362,0.009187,0.015451
108,0.011177,0.575939,0.055969,0.072845,0.975190,0.009210,0.015601
109,0.011173,0.570636,0.055637,0.072740,0.974891,0.009268,0.015841
110,0.011169,0.564937,0.055438,0.072578,0.974531,0.009385,0.016084
111,0.011165,0.559506,0.055137,0.072345,0.974251,0.009461,0.016288
112,0.011162,0.554439,0.054917,0.072121,0.973965,0.009555,0.016480
113,0.011158,0.549518,0.054665,0.072003,0.973648,0.009635,0.016716
114,0.011155,0.544608,0.054472,0.071931,0.973284,0.009737,0.016979
115,0.011152,0.539908,0.054314,0.071899,0.972901,0.009846,0.017253
116,0.011149,0.535158,0.054135,0.071699,0.972590,0.009952,0.017458
117,0.011146,0.530451,0.053881,0.071527,0.972290,0.010032,0.017679
118,0.011143,0.525665,0.053778,0.071466,0.971865,0.010172,0.017963
119,0.011140,0.521264,0.053519,0.071407,0.971527,0.010241,0.018232
120,0.011137,0.517171,0.053299,0.071235,0.971257,0.010316,0.018427
121,0.011134,0.513326,0.053069,0.071093,0.970997,0.010378,0.018625
122,0.011131,0.509712,0.052743,0.070957,0.970792,0.010394,0.018813
123,0.011129,0.506214,0.052492,0.070757,0.970600,0.010437,0.018963
124,0.011126,0.502831,0.052175,0.070748,0.970343,0.010447,0.019209
125,0.011124,0.499937,0.051974,0.070606,0.970164,0.010486,0.019351
126,0.011122,0.496998,0.051702,0.070401,0.970038,0.010498,0.019464
127,0.011119,0.494039,0.051387,0.070300,0.969869,0.010493,0.019638
128,0.011117,0.490826,0.051165,0.070181,0.969639,0.010537,0.019824
129,0.011115,0.487715,0.050996,0.070075,0.969389,0.010598,0.020012
130,0.011113,0.484792,0.050758,0.069921,0.969214,0.010625,0.020162
131,0.011110,0.481890,0.050488,0.069677,0.969102,0.010638,0.020261
132,0.011108,0.479206,0.050307,0.069627,0.968868,0.010678,0.020454
133,0.011106,0.476518,0.050010,0.069523,0.968710,0.010670,0.020620
134,0.011104,0.473962,0.049814,0.069432,0.968517,0.010698,0.020785
135,0.011102,0.471320,0.049641,0.069277,0.968338,0.010742,0.020921
136,0.011100,0.468573,0.049338,0.069157,0.968176,0.010734,0.021090
137,0.011098,0.465740,0.049161,0.069040,0.967946,0.010785,0.021270
138,0.011097,0.463153,0.048963,0.068980,0.967719,0.010815,0.021466
139,0.011095,0.460430,0.048705,0.068873,0.967525,0.010827,0.021649
140,0.011093,0.457809,0.048473,0.068775,0.967325,0.010844,0.021830
141,0.011091,0.455120,0.048347,0.068655,0.967080,0.010913,0.022007
142,0.011089,0.452526,0.048095,0.068614,0.966851,0.010921,0.022228
143,0.011088,0.450239,0.047817,0.068496,0.966722,0.010904,0.022374
144,0.011086,0.447935,0.047668,0.068346,0.966552,0.010946,0.022502
145,0.011084,0.445604,0.047476,0.068309,0.966323,0.010969,0.022708
146,0.011083,0.443263,0.047348,0.068197,0.966108,0.011023,0.022868
147,0.011081,0.441017,0.047112,0.068115,0.965935,0.011023,0.023042
148,0.011079,0.438942,0.046979,0.068016,0.965749,0.011063,0.023189
149,0.011078,0.436963,0.046749,0.068007,0.965560,0.011052,0.023389
150,0.011076,0.434944,0.046565,0.067903,0.965405,0.011065,0.023530
151,0.011075,0.433170,0.046387,0.067648,0.965385,0.011071,0.023544
152,0.011073,0.431184,0.046230,0.067583,0.965193,0.011095,0.023712
153,0.011072,0.428991,0.046029,0.067637,0.964906,0.011109,0.023986
154,0.011071,0.426989,0.045890,0.067638,0.964652,0.011142,0.024206
155,0.011069,0.425112,0.045683,0.067528,0.964525,0.011138,0.024337
156,0.011068,0.423117,0.045580,0.067430,0.964318,0.011191,0.024491
157,0.011066,0.421088,0.045373,0.067439,0.964078,0.011194,0.024728
158,0.011065,0.419146,0.045240,0.067449,0.963813,0.011228,0.024958
159,0.011064,0.417207,0.045069,0.067281,0.963691,0.011246,0.025063
160,0.011062,0.415441,0.044909,0.067164,0.963556,0.011260,0.025184
161,0.011061,0.413593,0.044767,0.067178,0.963300,0.011286,0.025414
162,0.011060,0.411696,0.044654,0.067098,0.963088,0.011330,0.025582
163,0.011058,0.409880,0.044454,0.067087,0.962879,0.011326,0.025795
164,0.011057,0.408011,0.044418,0.067090,0.962566,0.011408,0.026026
165,0.011056,0.406273,0.044258,0.066934,0.962455,0.011422,0.026124
166,0.011055,0.404335,0.044158,0.067045,0.962073,0.011475,0.026452
167,0.011054,0.402732,0.043963,0.066897,0.961994,0.011464,0.026543
168,0.011052,0.400980,0.043866,0.066840,0.961766,0.011510,0.026724
169,0.011051,0.399281,0.043685,0.066822,0.961558,0.011510,0.026931
170,0.011050,0.397560,0.043682,0.066729,0.961312,0.011606,0.027083
171,0.011049,0.395961,0.043541,0.066745,0.961071,0.011621,0.027308
172,0.011048,0.394426,0.043338,0.066704,0.960916,0.011601,0.027483
173,0.011047,0.392822,0.043302,0.066670,0.960654,0.011673,0.027672
174,0.011046,0.391303,0.043065,0.066529,0.960598,0.011635,0.027768
