iter,loss,cos_to_init,cos_to_prev,eff_dim,lat_low,lat_mid,lat_high,ks_stat,ks_p,wasserstein1,kl_div,acorr_lag1,acorr_sum,psnr,ssim,lpips
40,0.013266,0.999202,1.000000,65531.867188,0.015684027,0.12546906,0.8588469,0.001448,0.803665,0.003117,0.000532,-0.000169,0.006510,22.702735,0.59110755,0.157292
41,0.013100,0.999189,0.999999,65531.781250,0.015677061,0.12546962,0.8588533,0.001408,0.830307,0.002272,0.000553,-0.000176,0.006454,,,
42,0.012985,0.999177,1.000000,65531.664062,0.015670057,0.12547016,0.8588598,0.001441,0.808093,0.002228,0.000566,-0.000183,0.006399,,,
43,0.012900,0.999164,1.000000,65531.507812,0.015663289,0.12547071,0.858866,0.001447,0.804192,0.003347,0.000580,-0.000190,0.006345,,,
44,0.012826,0.999152,1.000000,65531.367188,0.015656974,0.1254712,0.8588718,0.001429,0.816384,0.002812,0.000546,-0.000196,0.006295,,,
45,0.012750,0.999139,1.000000,65531.179688,0.01565128,0.12547165,0.85887706,0.001434,0.813006,0.004171,0.000559,-0.000202,0.006248,,,
46,0.012663,0.999125,1.000000,65531.000000,0.015646333,0.12547204,0.8588816,0.001432,0.814650,0.003649,0.000563,-0.000207,0.006208,,,
47,0.012569,0.999112,1.000000,65530.828125,0.015642215,0.12547238,0.85888547,0.001439,0.809949,0.002988,0.000570,-0.000212,0.006175,,,
48,0.012474,0.999098,1.000000,65530.664062,0.015638947,0.12547259,0.8588885,0.001437,0.810950,0.003173,0.000564,-0.000215,0.006151,,,
49,0.012383,0.999085,1.000000,65530.484375,0.015636511,0.12547271,0.8588908,0.001435,0.812447,0.002964,0.000571,-0.000218,0.006131,,,
50,0.012298,0.999071,1.000000,65530.320312,0.015634835,0.12547271,0.85889244,0.001455,0.798814,0.005932,0.000565,-0.000220,0.006116,23.067537,0.5938797,0.149520
51,0.012216,0.999057,1.000000,65530.140625,0.015633805,0.12547266,0.8588936,0.001448,0.803979,0.002948,0.000586,-0.000222,0.006105,,,
52,0.012135,0.999044,1.000000,65529.929688,0.015633263,0.12547253,0.8588942,0.001404,0.832345,0.002430,0.000600,-0.000223,0.006097,,,
53,0.012059,0.999030,1.000000,65529.718750,0.015633035,0.12547237,0.8588946,0.001370,0.854020,0.002603,0.000587,-0.000223,0.006091,,,
54,0.011993,0.999016,1.000000,65529.500000,0.015632967,0.1254722,0.8588949,0.001355,0.862906,0.003145,0.000579,-0.000224,0.006086,,,
55,0.011947,0.999002,1.000000,65529.281250,0.015632888,0.12547201,0.85889506,0.001350,0.865355,0.002539,0.000554,-0.000225,0.006082,,,
56,0.011923,0.998989,1.000000,65529.054688,0.015632683,0.12547186,0.8588954,0.001360,0.859656,0.004515,0.000579,-0.000225,0.006077,,,
57,0.011917,0.998976,1.000000,65528.820312,0.015632272,0.12547174,0.858896,0.001345,0.868289,0.003087,0.000586,-0.000226,0.006071,,,
58,0.011914,0.998963,1.000000,65528.617188,0.01563164,0.12547164,0.8588967,0.001353,0.863824,0.003616,0.000613,-0.000227,0.006063,,,
59,0.011905,0.998949,1.000000,65528.437500,0.015630836,0.12547159,0.8588976,0.001366,0.856036,0.004099,0.000610,-0.000228,0.006055,,,
60,0.011883,0.998936,1.000000,65528.273438,0.015629953,0.12547158,0.8588985,0.001360,0.859445,0.005520,0.000607,-0.000229,0.006047,23.236614,0.6013499,0.148552
61,0.011853,0.998923,1.000000,65528.109375,0.015629122,0.12547156,0.85889935,0.001347,0.867407,0.004707,0.000613,-0.000230,0.006039,,,
62,0.011820,0.998910,1.000000,65527.937500,0.015628476,0.12547155,0.85889995,0.001360,0.859609,0.003192,0.000607,-0.000231,0.006033,,,
63,0.011791,0.998897,1.000000,65527.812500,0.015628148,0.12547152,0.8589003,0.001387,0.843349,0.002819,0.000610,-0.000231,0.006029,,,
64,0.011767,0.998883,1.000000,65527.664062,0.015628243,0.12547146,0.8589003,0.001354,0.863396,0.001703,0.000588,-0.000231,0.006027,,,
65,0.011743,0.998870,1.000000,65527.531250,0.015628828,0.12547135,0.8588998,0.001354,0.863126,0.002544,0.000588,-0.000230,0.006029,,,
66,0.011716,0.998856,1.000000,65527.406250,0.015629938,0.1254712,0.8588988,0.001355,0.862526,0.003404,0.000600,-0.000229,0.006033,,,
67,0.011683,0.998843,1.000000,65527.312500,0.015631575,0.12547101,0.8588974,0.001314,0.886184,0.004705,0.000588,-0.000227,0.006040,,,
68,0.011646,0.998828,1.000000,65527.218750,0.0156337,0.12547076,0.8588956,0.001337,0.873084,0.003794,0.000595,-0.000225,0.006049,,,
69,0.011607,0.998815,1.000000,65527.156250,0.015636249,0.12547046,0.85889333,0.001345,0.868589,0.003157,0.000572,-0.000222,0.006060,,,
70,0.011570,0.998800,1.000000,65527.109375,0.015639145,0.1254701,0.8588908,0.001371,0.853185,0.003785,0.000573,-0.000219,0.006071,23.538662,0.60825104,0.143325
71,0.011537,0.998786,1.000000,65527.109375,0.015642306,0.12546973,0.858888,0.001379,0.848504,0.003154,0.000561,-0.000216,0.006085,,,
72,0.011509,0.998771,1.000000,65527.101562,0.015645651,0.1254693,0.85888505,0.001403,0.833281,0.003861,0.000560,-0.000213,0.006101,,,
73,0.011486,0.998756,1.000000,65527.125000,0.015649108,0.12546885,0.858882,0.001389,0.842271,0.003605,0.000552,-0.000209,0.006116,,,
74,0.011466,0.998742,1.000000,65527.179688,0.01565262,0.12546837,0.85887897,0.001415,0.825298,0.002752,0.000559,-0.000206,0.006130,,,
75,0.011447,0.998727,1.000000,65527.234375,0.015656153,0.12546788,0.858876,0.001394,0.838631,0.004047,0.000527,-0.000203,0.006142,,,
76,0.011430,0.998713,1.000000,65527.296875,0.015659684,0.12546736,0.858873,0.001408,0.829899,0.003004,0.000522,-0.000199,0.006154,,,
77,0.011416,0.998699,1.000000,65527.375000,0.01566321,0.12546682,0.8588699,0.001413,0.826479,0.003461,0.000507,-0.000196,0.006164,,,
78,0.011404,0.998684,1.000000,65527.468750,0.01566674,0.12546627,0.858867,0.001432,0.814083,0.003452,0.000533,-0.000193,0.006173,,,
79,0.011393,0.998670,1.000000,65527.570312,0.015670288,0.12546569,0.858864,0.001430,0.815384,0.003022,0.000537,-0.000189,0.006181,,,
80,0.011383,0.998656,1.000000,65527.687500,0.015673868,0.1254651,0.858861,0.001426,0.818155,0.003307,0.000524,-0.000186,0.006189,23.951712,0.6146911,0.138643
81,0.011371,0.998642,1.000000,65527.820312,0.015677502,0.12546448,0.858858,0.001384,0.845327,0.003616,0.000550,-0.000182,0.006197,,,
82,0.011357,0.998628,1.000000,65527.960938,0.01568121,0.12546389,0.85885495,0.001358,0.861010,0.002259,0.000552,-0.000178,0.006204,,,
83,0.011344,0.998614,1.000000,65528.109375,0.015684994,0.12546326,0.85885173,0.001377,0.849631,0.003252,0.000550,-0.000175,0.006211,,,
84,0.011332,0.998600,1.000000,65528.250000,0.015688859,0.12546262,0.8588485,0.001354,0.863496,0.004535,0.000532,-0.000171,0.006219,,,
85,0.011322,0.998586,1.000000,65528.437500,0.015692802,0.125462,0.85884523,0.001377,0.849352,0.002792,0.000537,-0.000167,0.006226,,,
86,0.011313,0.998572,1.000000,65528.593750,0.015696827,0.12546137,0.85884184,0.001388,0.842398,0.001972,0.000536,-0.000163,0.006234,,,
87,0.011303,0.998559,1.000000,65528.765625,0.015700923,0.12546074,0.8588384,0.001400,0.834850,0.003726,0.000542,-0.000159,0.006241,,,
88,0.011294,0.998545,1.000000,65528.929688,0.01570508,0.12546012,0.8588348,0.001386,0.843797,0.003925,0.000538,-0.000155,0.006248,,,
89,0.011284,0.998531,1.000000,65529.101562,0.015709305,0.12545949,0.8588312,0.001341,0.870639,0.002641,0.000532,-0.000150,0.006254,,,
90,0.011274,0.998518,1.000000,65529.281250,0.015713595,0.12545888,0.85882753,0.001307,0.889651,0.002720,0.000537,-0.000146,0.006260,24.192208,0.6193591,0.134822
91,0.011265,0.998504,1.000000,65529.453125,0.015717955,0.12545829,0.8588238,0.001319,0.883028,0.003222,0.000529,-0.000142,0.006265,,,
92,0.011256,0.998491,1.000000,65529.632812,0.015722392,0.12545769,0.85881996,0.001300,0.893542,0.003142,0.000518,-0.000138,0.006269,,,
93,0.011249,0.998477,1.000000,65529.789062,0.015726916,0.12545708,0.85881597,0.001300,0.893551,0.003340,0.000512,-0.000133,0.006273,,,
94,0.011242,0.998464,1.000000,65529.937500,0.015731541,0.12545648,0.858812,0.001286,0.900840,0.004252,0.000512,-0.000129,0.006278,,,
95,0.011235,0.998451,1.000000,65530.109375,0.01573627,0.12545589,0.85880786,0.001312,0.886875,0.003879,0.000506,-0.000124,0.006283,,,
96,0.011228,0.998438,1.000000,65530.257812,0.015741112,0.12545526,0.85880363,0.001330,0.877279,0.004168,0.000520,-0.000119,0.006288,,,
97,0.011222,0.998425,1.000000,65530.398438,0.015746064,0.12545465,0.8587993,0.001370,0.853690,0.002803,0.000517,-0.000114,0.006293,,,
98,0.011216,0.998411,1.000000,65530.523438,0.015751129,0.12545404,0.85879487,0.001368,0.854939,0.005382,0.000513,-0.000109,0.006299,,,
99,0.011211,0.998398,1.000000,65530.640625,0.015756309,0.1254534,0.8587903,0.001332,0.875846,0.002180,0.000509,-0.000104,0.006305,,,
100,0.011207,0.998385,1.000000,65530.750000,0.01576162,0.12545276,0.8587856,0.001334,0.875072,0.002736,0.000500,-0.000098,0.006313,24.395119,0.6221394,0.133330
101,0.011203,0.998372,1.000000,65530.875000,0.015767071,0.1254521,0.85878086,0.001340,0.871712,0.002364,0.000486,-0.000093,0.006331,,,
102,0.011199,0.998358,1.000000,65530.968750,0.015772685,0.12545142,0.8587759,0.001356,0.861929,0.003384,0.000486,-0.000087,0.006351,,,
103,0.011195,0.998345,1.000000,65531.062500,0.015778478,0.12545072,0.8587708,0.001341,0.870721,0.003404,0.000488,-0.000081,0.006371,,,
104,0.011191,0.998332,1.000000,65531.125000,0.015784482,0.12545,0.85876554,0.001360,0.859665,0.003728,0.000499,-0.000075,0.006393,,,
105,0.011187,0.998318,1.000000,65531.203125,0.01579071,0.12544926,0.85876006,0.001348,0.866553,0.002806,0.000497,-0.000069,0.006417,,,
106,0.011184,0.998305,1.000000,65531.296875,0.015797177,0.12544847,0.8587544,0.001377,0.849240,0.002895,0.000482,-0.000062,0.006441,,,
107,0.011180,0.998291,1.000000,65531.343750,0.015803881,0.12544763,0.85874844,0.001369,0.854178,0.003190,0.000479,-0.000055,0.006468,,,
108,0.011177,0.998277,1.000000,65531.390625,0.01581082,0.1254468,0.85874236,0.001361,0.858990,0.003767,0.000479,-0.000048,0.006496,,,
109,0.011173,0.998264,1.000000,65531.453125,0.015817964,0.12544592,0.8587361,0.001356,0.861917,0.007792,0.000491,-0.000041,0.006525,,,
110,0.011169,0.998249,1.000000,65531.500000,0.015825296,0.12544504,0.8587297,0.001358,0.860700,0.003552,0.000488,-0.000034,0.006554,24.527597,0.62496203,0.132135
111,0.011165,0.998236,1.000000,65531.531250,0.015832776,0.12544411,0.85872304,0.001348,0.867041,0.002881,0.000501,-0.000026,0.006585,,,
